input	output
segment: गतं नार्हति	गतम् न अर्हति
tag: सीता च पितरौ दध्मौ ।	सीता|NOUN च|CONJ पितरौ|NOUN दध्मौ|VERB ।|SYM
segment: हरितान्यपि	हरितानि अपि
segment: संसारितादशायां तु	संसारितादशायाम् तु
tag: तया कल्पः आगच्छति ।	तया|PRON कल्पः|NOUN आगच्छति|VERB ।|SYM
segment: चात्यन्तावयवित्वमनिवेश्यैव	च अत्यन्तावयवित्वमनिवेश्य एव
segment: दुष्टो धर्म्येव	दुष्टः धर्मे एव
segment: तदवस्थं पुत्रं	तदवस्थम् पुत्रम्
segment: वेदान्तिनां क्षतिविरहात्	वेदान्तिनाम् क्षतिविरहात्
tag: असौ भवतु ।	असौ|PRON भवतु|VERB ।|SYM
tag: यूयम् पिता आसीत् ।	यूयम्|PRON पिता|NOUN आसीत्|VERB ।|SYM
tag: वेगवान् पाण्डवाश्च भवतु ।	वेगवान्|ADJ पाण्डवाश्च|NOUN भवतु|VERB ।|SYM
segment: यज्ज्ञाने	यत् ज्ञाने
tag: भीष्मम् पितरौ प्रहरति ।	भीष्मम्|NOUN पितरौ|NOUN प्रहरति|VERB ।|SYM
segment: घटत्वादिविशिष्टं प्रति	घटत्वादिविशिष्टम् प्रति
segment: मयोक्तो मैथिली	मया उक्तः मैथिली
segment: गुरुमभिभूय	गुरुम् अभिभूय
segment: इमा गङ्गाप्रभृतयो	इमाः गङ्गाप्रभृतयः
tag: इयम् सिंहः प्रादुरासीत् ।	इयम्|PRON सिंहः|NOUN प्रादुरासीत्|VERB ।|SYM
segment: दुःखनिष्ठचरमत्वं जातिविशेषः	दुःखनिष्ठचरमत्वम् जातिविशेषः
segment: उपाधिज्ञानेऽपि	उपाधिज्ञाने अपि
segment: चरमदुःखध्वंसो मुक्तिरिति	चरमदुःखध्वंसः मुक्तिः इति
segment: तस्या मनो	तस्याः मनः
segment: शृङ्गोपमाञ्छ्रीधर	शृङ्गोपमान् श्रीधर
tag: कदाचित् भेर्यः जानाति ।	कदाचित्|ADV भेर्यः|NOUN जानाति|VERB ।|SYM
segment: विरुद्धत्वमेवेति	विरुद्धत्वम् एव इति
tag: सूर्यः कर्माणि अवलोकयति ।	सूर्यः|NOUN कर्माणि|NOUN अवलोकयति|VERB ।|SYM
segment: यथैव	यथा एव
segment: अनुमितिप्रतिबन्धकहेतावच्छेदकत्वं	अनुमितिप्रतिबन्धकहेतौ अवच्छेदकत्वं
segment: तवानयामि	तव आनयामि
segment: हेतुभेदाभेदस्यैव	हेतुभेदाभेदस्य इव
segment: कठोरहृदयो जीवत्येष	कठोरहृदयः जीवति एषः
segment: ध्वंसेभावेन	ध्वंसे अभावेन
segment: शिक्षितं	शिक्षितम्
segment: घटोत्कचः---शकुनिरेष व्याहरति	घटोत्कचः---शकुनिः एषः व्याहरति
segment: निवेशनमुभयमतसिद्धम्	निवेशनम् उभयमतसिद्धम्
segment: श्रीरपि	श्रीः अपि
segment: व्यभिचारित्वसत्त्वादतिव्याप्तिः	व्यभिचारित्वसत्त्वात् अतिव्याप्तिः
tag: पितरौ आशा गच्छति ।	पितरौ|NOUN आशा|NOUN गच्छति|VERB ।|SYM
segment: मत्पुत्रदोषात्कृपणीकृतोऽस्मि	मत्पुत्रदोषात् कृपणीकृतः अस्मि
segment: इयं सा	इयम् सा
segment: प्रागभावविशेशणेनेति	प्रागभावविशेशणेन इति
tag: हर्षम् दिदृक्षते ।	हर्षम्|NOUN दिदृक्षते|VERB ।|SYM
segment: एतत्पुरुषीयात्मनस्तादात्म्यसंबन्धेन	एतत् पुरुषीय आत्मनः तादात्म्यसंबन्धेन
tag: विद्यालयः च पुरुजित् दृश्यते ।	विद्यालयः|NOUN च|CONJ पुरुजित्|NOUN दृश्यते|VERB ।|SYM
segment: (शरं मुक्त्वा)	(शरम् मुक्त्वा)
segment: यत्तु	यः तु
segment: .तत्रोपाधिसन्देहानुद्भावनप्रसङ्गात्	.तत्र इपाधिसन्देहानुद्भावनप्रसङ्गात्
tag: धृतराष्ट्र मित्रम् आगच्छति ।	धृतराष्ट्र|NOUN मित्रम्|NOUN आगच्छति|VERB ।|SYM
tag: कः इन्जिनियरः कुर्वत ।	कः|PRON इन्जिनियरः|NOUN कुर्वत|VERB ।|SYM
segment: सब्रह्मेन्द्रमरुद्गणं त्रिभुवनं	सब्रह्मेन्द्रमरुद्गणम् त्रिभुवनम्
segment: सूर्योद्भवो वह्निः	सूर्योद्भवः वह्निः
tag: तेन मन्यते ।	तेन|PRON मन्यते|VERB ।|SYM
tag: घोड़ा च धर्मः श्रावयामास ।	घोड़ा|NOUN च|CONJ धर्मः|NOUN श्रावयामास|VERB ।|SYM
segment: विकृतवपुषोऽप्युग्राचारा घृणा	विकृतवपुषः अपि उग्राचाराः घृणा
segment: सततं द्यूतशालिना	सततम् द्यूतशालिना
segment: त्विति	तु इति
segment: मुक्तित्वादिमतापेक्षया	मुक्तित्वादिमत आपेक्षया
segment: तन्न	तत् न
tag: कापि श्रुत्वा ।	कापि|PRON श्रुत्वा|VERB ।|SYM
segment: प्रियो भवेत्	प्रियः भवेत्
segment: त्वं दुर्निवारैः	त्वम् दुर्निवारैः
segment: गोचरत्वगर्भमपि	गोचरत्वगर्भम् अपि
segment: गुणत्वेनैव	गुणत्वेन एव
segment: संभ्रम इति	संभ्रमः इति
segment: स्वपितेव	स्वपिता इव
segment: मनुष्याणामस्त्येव	मनुष्याणाम् अस्ति एव
segment: फलसत्वं करणासत्वेग्रिमक्षणे	फलसत्वम् करणासत्वे अग्रिमक्षणे
segment: त्वमवरोधनम्	त्वम् अवरोधनम्
segment: स्वनिलयमेव	स्वनिलयम् एव
segment: कर्णोऽर्जुनस्य	कर्णः अर्जुनस्य
segment: गतवानस्मि	गतवान् अस्मि
segment: त्वदागमनादेव	त्वदागमनात् एव
segment: चैवमेवेति	च एवम् एव इति
tag: मित्रम् च सेवायाम् खेलामः ।	मित्रम्|NOUN च|CONJ सेवायाम्|NOUN खेलामः|VERB ।|SYM
segment: मकरालयं वा	मकरालयम् वा
tag: व्यूढाम् रूपम् भविष्यति ।	व्यूढाम्|ADJ रूपम्|NOUN भविष्यति|VERB ।|SYM
segment: .तत्त्वमुभयत्राप्यस्तीति--ख	.तत्त्वम् उभयत्र अपि अस्ति इति--ख
segment: पूर्वोपस्थितेश्वरस्यैवोपस्थापनात्	पूर्वोपस्थितेश्वरस्य एव उपस्थापनात्
segment: दुरितनाशत्वावच्छिन्नं प्रति	दुरितनाशत्वावच्छिन्नम् प्रति
segment: दुःखवृत्तिजातित्वं न	दुःखवृत्तिजातित्वम् न
