input	output
tag: एतत् धर्मक्षेत्रे वदति ।	एतत्|PRON धर्मक्षेत्रे|NOUN वदति|VERB ।|SYM
tag: कापि भवति ।	कापि|PRON भवति|VERB ।|SYM
tag: मन्त्री समवेता आसीत् ।	मन्त्री|NOUN समवेता|ADJ आसीत्|VERB ।|SYM
tag: तस्मै अस्ति ।	तस्मै|PRON अस्ति|VERB ।|SYM
tag: वयम् पुस्तकम् भवति ।	वयम्|PRON पुस्तकम्|NOUN भवति|VERB ।|SYM
tag: युयुत्सवः अर्जुन श्रुत्वा ।	युयुत्सवः|ADJ अर्जुन|NOUN श्रुत्वा|VERB ।|SYM
tag: नरपुङ्गवः पाणिनिः व्याख्याति ।	नरपुङ्गवः|NOUN पाणिनिः|NOUN व्याख्याति|VERB ।|SYM
tag: आयुर्वेदः सर्वेषाम् शास्त्राणाम् श्रेष्ठः अस्ति । तत् च सर्वेषाम् रोगाणाम् नाशकः अस्ति । तस्य च ज्ञाने सर्वे स्वस्थाः भवन्ति । तस्य च अज्ञाने सर्वे रोगिणः भवन्ति ।	आयुर्वेदः|NOUN सर्वेषाम्|PRON शास्त्राणाम्|NOUN श्रेष्ठः|ADJ अस्ति|VERB ।|SYM तत्|PRON च|CONJ सर्वेषाम्|PRON रोगाणाम्|NOUN नाशकः|ADJ अस्ति|VERB ।|SYM तस्य|PRON च|CONJ ज्ञाने|NOUN सर्वे|PRON स्वस्थाः|ADJ भवन्ति|VERB ।|SYM तस्य|PRON च|CONJ अज्ञाने|NOUN सर्वे|PRON रोगिणः|ADJ भवन्ति|VERB ।|SYM
tag: शीघ्रम् महेशः दृश्यते ।	शीघ्रम्|ADV महेशः|NOUN दृश्यते|VERB ।|SYM
tag: राज्ञाम् च कविर्मुनिः शिक्षयति ।	राज्ञाम्|NOUN च|CONJ कविर्मुनिः|NOUN शिक्षयति|VERB ।|SYM
tag: सिंहनादम् रुचिकरः निवेदयति ।	सिंहनादम्|NOUN रुचिकरः|ADJ निवेदयति|VERB ।|SYM
tag: भीमाभिरक्षितम् कृष्णः उवाच ।	भीमाभिरक्षितम्|ADJ कृष्णः|NOUN उवाच|VERB ।|SYM
tag: किसानः निन्दति ।	किसानः|NOUN निन्दति|VERB ।|SYM
tag: का समीक्षते ।	का|PRON समीक्षते|VERB ।|SYM
tag: तया कावेरी नमस्कृत्य ।	तया|PRON कावेरी|NOUN नमस्कृत्य|VERB ।|SYM
tag: ततः कविर्मुनिः बोधयति ।	ततः|ADV कविर्मुनिः|NOUN बोधयति|VERB ।|SYM
tag: मनोहरः अयनेषु निन्दति ।	मनोहरः|ADJ अयनेषु|NOUN निन्दति|VERB ।|SYM
tag: तं कमरबन्दः समीक्षते ।	तं|PRON कमरबन्दः|NOUN समीक्षते|VERB ।|SYM
tag: द्रुपदः वाल्मीकिः प्रोक्तः ।	द्रुपदः|NOUN वाल्मीकिः|NOUN प्रोक्तः|VERB ।|SYM
tag: बुद्धिमान् सौभद्रः व्याख्याति ।	बुद्धिमान्|ADJ सौभद्रः|NOUN व्याख्याति|VERB ।|SYM
tag: पाण्डवाश्च च वेदः प्रहरति ।	पाण्डवाश्च|NOUN च|CONJ वेदः|NOUN प्रहरति|VERB ।|SYM
tag: तत्तत् मातृ अवलोकयति ।	तत्तत्|PRON मातृ|NOUN अवलोकयति|VERB ।|SYM
tag: धृतराष्ट्र उवाच । धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः । मामकाः पाण्डवाश्च एव किम् कुर्वत सञ्जय ।	धृतराष्ट्र|NOUN उवाच|VERB ।|SYM धर्मक्षेत्रे|NOUN कुरुक्षेत्रे|NOUN समवेता|ADJ युयुत्सवः|ADJ ।|SYM मामकाः|ADJ पाण्डवाश्च|NOUN एव|PART किम्|PRON कुर्वत|VERB सञ्जय|NOUN ।|SYM
tag: कृष्णा सत्त्वम् श्रुत्वा ।	कृष्णा|NOUN सत्त्वम्|NOUN श्रुत्वा|VERB ।|SYM
tag: एकम् च वाजश्रवाः शिक्षते ।	एकम्|NOUN च|CONJ वाजश्रवाः|NOUN शिक्षते|VERB ।|SYM
tag: कुत्र कार्यालयः खेलामः ।	कुत्र|ADV कार्यालयः|NOUN खेलामः|VERB ।|SYM
tag: अत्र शूराः महेष्वासाः भीमार्जुनसमाः युधि । युयुधानः विराटः च द्रुपदः च महारथः ॥	अत्र|ADV शूराः|NOUN महेष्वासाः|ADJ भीमार्जुनसमाः|ADJ युधि|NOUN ।|SYM युयुधानः|NOUN विराटः|NOUN च|CONJ द्रुपदः|NOUN च|CONJ महारथः|NOUN ॥|SYM
tag: यत् बोधयति ।	यत्|PRON बोधयति|VERB ।|SYM
