input	output
segment: तत्रानुमित्यप्रतिबन्धात्	तत्र अनुमित्यप्रतिबन्धात्
segment: केवलमीश्वरः	केवलम् ईश्वरः
segment: नासम्भवः	न असम्भवः
segment: ग्रहगणचरितं वा	ग्रहगणचरितम् वा
segment: विचित्रवीर्यो विषयी	विचित्रवीर्यः विषयी
segment: यो यस्माज्जायते	यः यस्मात् जायते
segment: नाव्याप्तिः	न अव्याप्तिः
segment: वचनगतसिद्धिमपि	वचनगतसिद्धिम् अपि
segment: अतिव्याप्तेरेवेत्यर्थः	अतिव्याप्तेः एव इति अर्थः
segment: मुनिशापमाप्तवान्	मुनिशापम् आप्तवान्
segment: मां दृष्ट्वा	माम् दृष्ट्वा
segment: व्यभिचारवारणार्थं तत्त्वज्ञाननिष्ठयोगाभ्यास	व्यभिचारवारणार्थम् तत्त्वज्ञाननिष्ठयोगाभ्यास
segment: घटत्वादिनानाहेतुतयैव	घटत्वादिनानाहेतुतया एव
segment: साध्याभावप्रतियोगिकव्यतिरेकव्याप्तेरेव	साध्याभावप्रतियोगिकव्यतिरेकव्याप्तेः एव
segment: तन्न	तत् न
segment: यो वचनगतसिद्धिमपि	यः वचनगतसिद्धिम् अपि
segment: मदो मधुसूदनस्य	मदः मधुसूदनस्य
segment: माऽधुना	मा अधुना
segment: नद्यश्च	नद्यः च
segment: किं घटत्वादिवृत्तिविषयतासंबन्धेन	किम् घटत्वादिवृत्तिविषयतासंबन्धेन
segment: चापि	च अपि
segment: जनतेच्छति	जनता इच्छति
segment: एता रावणजीमूताद्	एताः रावणजीमूतात्
segment: .तद्विषयकत्वेन	.तत् विषयकत्वेन
segment: त्रिभुवनं सृष्टं	त्रिभुवनम् सृष्टम्
segment: नदन्तं	नदन्तम्
segment: घटत्वादिमत्तद्भेद	घटत्वादिमत् तत् भेद
segment: सतां विहाय	सताम् विहाय
segment: कञ्चिद् दर्शयते	कञ्चित् दर्शयते
segment: किं नु	किम् नु
segment: निगृह्यानय	निगृह्य आनय
segment: तथापि	तथा अपि
